epoch,train_loss,train_acc_branch_1,train_acc_branch_2,train_acc_branch_3,train_acc_branch_4,val_loss,val_acc_branch_1,val_acc_branch_2,val_acc_branch_3,val_acc_branch_4
1,14.7257,9.4662,28.9945,44.4874,42.3803,15.1698,9.6531,28.894,42.8174,41.4594
2,14.4293,9.6374,30.1637,46.2153,44.6767,15.0945,9.8004,27.9941,43.3737,41.7212
3,14.1074,9.7659,30.7066,46.847,46.4221,14.8764,10.0949,29.8757,44.7971,41.2304
4,13.7375,9.8384,31.5842,47.7883,47.3045,14.5133,10.3894,30.7428,44.3717,41.9175
5,13.2907,9.8991,32.9077,49.5542,49.009,13.76,10.4712,32.0844,46.3187,44.0609
6,12.6759,9.9032,34.4808,52.0305,52.0311,13.1601,10.8148,34.4077,47.1695,46.7605
7,12.1857,10.2719,36.7474,54.1067,54.5473,12.765,11.322,34.8658,49.1656,48.2657
8,11.8177,10.2492,38.0411,56.3704,57.5729,12.2537,11.0929,36.5674,51.6361,52.2415
9,11.5293,10.4893,39.5697,58.6171,60.1305,12.1633,10.9293,37.5982,52.2742,53.4359
10,11.3643,10.6576,40.5759,59.2336,62.091,11.9467,11.1257,38.1708,53.5013,55.1865
11,11.2811,10.6728,41.3145,60.1504,62.7507,12.0111,11.1911,38.1545,52.3397,54.1558
12,11.325,10.584,41.0229,59.9272,62.7291,11.9673,10.9784,38.0072,53.1904,54.4175
13,11.4544,10.5705,40.4485,58.8573,60.6944,12.0853,11.1911,38.1545,53.2232,52.7814
14,11.7554,10.2825,38.6061,57.3737,57.7383,12.3125,11.3384,37.091,52.0288,50.8835
15,12.323,10.0815,36.3886,53.7047,52.1597,12.6628,11.142,34.4732,49.7709,49.1165
16,12.7964,10.0838,34.7338,51.5853,49.4069,13.082,11.2893,34.0969,47.9385,46.9404
17,13.3391,9.9278,32.9481,49.7721,46.9533,13.7734,10.6512,32.4607,46.1551,44.6171
18,13.8403,9.6058,31.6912,47.8684,45.9202,14.5527,10.9784,31.1191,44.4863,40.9359
19,14.2549,9.7449,30.8947,46.8925,45.0273,14.8422,9.3096,30.8737,44.6826,41.4431
20,14.5616,9.503,29.8312,46.1089,44.0352,15.3973,9.7186,29.8757,42.5065,39.9378
21,14.6347,9.531,30.0515,45.8384,44.0018,15.838,10.1276,29.3685,42.6211,39.7579
