epoch,train_loss,train_acc_branch_1,train_acc_branch_2,train_acc_branch_3,train_acc_branch_4,val_loss,val_acc_branch_1,val_acc_branch_2,val_acc_branch_3,val_acc_branch_4
1,12.097,10.5337,36.6445,55.9701,57.1528,13.0712,10.8639,35.5694,52.1433,53.8285
2,11.7553,10.7049,38.0224,58.2075,60.366,13.281,11.0766,36.0602,52.5196,51.4398
3,11.5591,10.7604,38.6955,58.6534,61.9122,13.0125,11.4529,37.32,53.2559,54.663
4,11.2281,10.8983,39.8227,60.4221,63.6178,12.8234,11.6329,37.8599,53.3868,52.8632
5,10.8519,11.0567,41.3484,62.0629,65.6057,11.9878,12.2382,39.4143,55.1702,55.9882
6,10.4361,11.0532,43.0237,64.1607,67.6848,11.3951,11.7637,40.9359,57.8534,59.784
7,9.9996,11.4418,45.5252,66.8953,71.3585,11.1551,12.2382,41.4103,58.6878,59.8331
8,9.7138,11.4348,47.0708,68.9966,73.8354,10.7337,12.1564,42.572,60.3894,63.089
9,9.4616,11.4383,48.9494,71.4175,76.4906,10.5505,12.0746,44.1427,62.0255,64.9378
10,9.3375,11.8689,49.9199,72.3612,78.444,10.423,12.3527,44.9444,62.4673,65.805
11,9.2603,11.9122,50.6095,72.9391,78.638,10.5421,12.091,44.6171,61.2565,64.267
12,9.306,11.783,50.1531,72.8257,78.8589,10.4715,11.9601,44.7317,61.6983,65.9686
13,9.4305,11.8596,49.494,71.3585,76.6683,10.4853,12.5,44.9771,61.7474,64.9542
14,9.7183,11.4283,47.7737,69.5166,72.8497,10.719,12.3527,43.4555,60.7821,62.0746
15,10.1319,11.3197,45.0192,66.3794,68.3965,11.137,12.3037,41.6885,58.7369,59.2277
16,10.5644,11.3524,43.227,64.1519,65.0424,11.6223,11.911,39.4143,56.2664,55.7428
17,11.0044,11.0608,41.3992,61.6077,62.4194,12.1423,11.7474,39.4143,55.6283,54.4993
18,11.3807,10.9393,39.6667,60.0394,61.3717,12.7003,11.8455,37.2873,53.9103,52.4378
19,11.6912,10.7382,38.8644,58.727,59.9874,12.9793,10.9784,36.6819,54.3194,53.2559
20,11.915,10.6278,38.061,57.6664,59.8764,13.383,11.1257,35.7657,51.3907,52.0124
21,11.9471,10.5857,37.9575,57.7079,59.7122,13.654,10.733,35.2912,51.178,51.2271
