epoch,train_loss,train_acc_branch_1,train_acc_branch_2,train_acc_branch_3,train_acc_branch_4,val_loss,val_acc_branch_1,val_acc_branch_2,val_acc_branch_3,val_acc_branch_4
1,15.3487,9.5234,24.2018,35.6003,33.9847,12.4611,10.6839,33.7696,48.1512,48.462
2,11.8905,12.0799,35.9761,51.93,53.2349,11.64,11.9437,37.3855,53.2395,54.1394
3,10.9786,12.4871,39.7286,57.2749,59.9208,11.1255,12.2055,39.4797,54.3194,57.3789
4,10.3567,13.0575,42.797,61.606,64.8251,10.7913,13.2363,41.8848,58.9005,58.5079
5,9.7996,13.2701,45.9699,65.386,68.9516,10.3876,13.4162,43.6191,60.0785,62.3037
6,9.3211,13.872,48.8249,68.8663,73.33,9.8801,13.3671,46.0569,63.678,67.0321
7,8.8311,14.4406,51.4988,72.5587,77.4618,9.7704,14.1525,46.5969,64.3979,67.7029
8,8.4485,14.6924,54.3089,76.1114,81.1793,9.4411,13.9562,48.9856,65.9522,71.0733
9,8.1104,15.1003,56.6964,79.0097,84.9459,9.4025,14.2016,50.0818,67.6211,70.7624
10,7.8959,15.1009,58.1339,81.0782,87.7174,9.2642,14.2997,50.5563,68.4719,72.8567
11,7.804,15.393,59.1027,81.3289,88.5448,9.3584,13.8416,50.2618,67.9319,72.0059
12,7.8525,15.2797,58.6773,80.8597,88.1615,9.3478,13.7762,50.2945,67.8501,72.2186
13,8.0031,15.1196,57.6372,79.4257,85.6605,9.3353,14.5288,50.2127,67.6865,71.8096
14,8.2261,15.0313,55.6499,76.9452,82.8429,9.4606,14.2507,49.3783,66.7866,69.3063
15,8.4896,14.8099,53.4996,74.3672,79.6408,9.5693,14.8397,48.1675,64.8397,68.0301
16,8.7007,14.8128,51.4322,72.391,77.4378,9.9968,13.9889,44.8953,61.9274,65.445
17,8.8086,14.7719,50.5189,70.912,75.4651,10.2131,14.267,46.0569,61.4365,62.1728
18,8.9478,14.506,49.2468,69.3279,74.702,10.302,13.8253,45.6643,61.1093,62.091
19,8.9581,14.7047,49.0429,68.9346,74.5226,10.1383,14.2507,44.4699,61.2565,64.4797
20,8.9021,14.6673,49.4607,69.2595,74.8527,10.5548,14.627,42.9483,57.2808,60.9784
21,8.8355,14.9963,49.6476,69.4763,75.0988,10.5389,14.447,44.1263,58.3279,59.5223
