epoch,train_loss,train_acc_branch_1,train_acc_branch_2,train_acc_branch_3,train_acc_branch_4,val_loss,val_acc_branch_1,val_acc_branch_2,val_acc_branch_3,val_acc_branch_4
1,12.6139,11.405,35.4998,53.0777,52.9889,13.6603,11.7801,34.6859,49.7709,48.4948
2,12.3669,11.5195,36.8228,55.0194,55.3005,13.68,12.2382,33.786,49.1165,48.5602
3,12.1114,11.492,37.2429,55.5108,57.4753,13.1794,12.3691,35.8802,51.5216,50.3109
4,11.7388,11.7585,37.9458,56.8694,58.9309,12.9523,11.9601,36.1257,51.7343,50.9817
5,11.3705,11.8584,39.8116,58.7539,60.5495,12.1624,12.2873,38.3835,53.9758,53.3541
6,10.8857,11.8707,41.5179,61.0842,63.3911,11.6491,12.5164,40.036,55.3338,55.6446
7,10.4686,12.2189,43.6553,63.3999,66.1112,11.3777,12.6636,40.5268,56.7408,56.4463
8,10.1549,12.3054,45.1606,65.4906,69.3133,10.888,12.2873,42.212,58.9823,61.2075
9,9.9054,12.5801,47.2437,67.5632,71.6962,10.7874,12.5654,44.0281,60.324,61.6656
10,9.7442,12.6864,47.6697,68.8803,73.7577,10.5496,12.8109,44.4863,61.2238,63.7598
11,9.6754,12.8079,48.6765,69.4255,73.964,10.6349,12.6309,44.0936,60.8639,63.0399
12,9.7089,12.5158,48.157,69.5044,73.9044,10.6171,12.4018,44.2572,60.0785,63.3181
13,9.8467,12.777,47.9256,68.0751,71.6921,10.7897,12.9418,43.8482,59.7349,61.731
14,10.1694,12.3685,45.6391,66.0259,68.1119,10.9773,12.8927,43.3246,58.966,58.5079
15,10.6054,12.0974,43.3264,62.8599,63.5781,11.3008,13.1545,40.8868,56.8226,56.6427
16,11.0306,12.0395,41.4174,60.844,60.518,11.6744,12.4836,39.3815,55.1865,55.6937
17,11.4697,11.7608,39.624,58.7024,57.691,12.0107,12.0419,38.0072,53.9103,55.6937
18,11.9587,11.471,38.432,56.4487,56.3797,12.961,12.2055,37.1073,52.6014,50.2127
19,12.2429,11.627,37.3434,55.4834,55.4541,13.3061,12.0746,35.4712,51.0798,50.9653
20,12.4835,11.3734,36.4874,54.3977,55.2753,13.5757,11.7474,34.5223,49.0674,49.5092
21,12.5657,11.4535,36.1175,54.3638,54.8499,13.8708,11.8128,35.6185,50.3927,47.284
