epoch,train_loss,train_acc_branch_1,train_acc_branch_2,train_acc_branch_3,train_acc_branch_4,val_loss,val_acc_branch_1,val_acc_branch_2,val_acc_branch_3,val_acc_branch_4
1,13.7561,9.0408,31.5188,48.5456,47.7731,14.4439,9.7022,32.7389,46.0406,45.1734
2,13.4177,9.0811,32.9177,50.4926,50.8315,14.3091,9.9149,31.839,46.6623,47.2349
3,13.2233,9.3399,33.1923,51.0097,51.8237,14.1049,10.4221,33.377,47.464,47.3986
4,12.8302,9.2254,34.0589,52.2333,54.0003,13.8548,9.8986,33.8842,49.2147,45.4843
5,12.398,9.3183,35.823,53.7917,55.3057,13.0817,10.4058,35.3567,50.1309,48.8874
6,11.9072,9.4083,37.3785,56.1524,58.0007,12.4677,10.2912,37.1073,53.125,52.0124
7,11.4669,9.5071,39.5124,58.7346,61.1309,12.1903,10.9948,37.8927,53.2395,51.7834
8,11.1111,9.548,40.7617,60.7032,63.945,11.7493,10.7821,39.2343,55.1374,55.661
9,10.8275,9.7122,42.4937,63.3958,66.6645,11.5551,10.7984,40.6904,55.8901,57.5916
10,10.6969,9.732,43.8505,64.0397,68.3819,11.4074,10.733,40.805,57.5753,59.6695
11,10.5985,9.891,44.5365,64.8151,68.9937,11.4823,10.7493,41.5249,55.7428,58.6224
12,10.646,9.9213,43.8832,64.5697,69.3957,11.4726,10.4548,41.0504,56.43,59.6859
13,10.7851,9.8594,43.2457,63.2976,67.0303,11.4855,10.6185,41.1976,56.8226,57.608
14,11.1002,9.538,41.4857,61.1543,63.2117,11.6924,10.2094,39.5942,55.7592,56.1518
15,11.5657,9.3779,38.9036,58.4325,58.7165,12.1057,10.733,37.4182,53.0923,53.4031
16,12.0428,9.496,37.3726,56.0034,55.2152,12.5379,10.7493,36.2402,51.7179,50.9326
17,12.5611,9.4036,35.7493,54.0634,52.7785,13.0022,10.3403,35.9457,50.6381,48.9365
18,12.9802,9.0904,34.6111,52.0872,51.5561,13.8042,10.7166,33.3933,48.7238,45.6315
19,13.3847,9.0898,33.2595,50.835,50.4003,14.0,9.784,33.4588,48.9365,46.0569
20,13.6033,9.0162,32.7751,50.2571,49.9112,14.5644,9.784,31.6099,46.5314,44.9935
21,13.7205,9.0232,32.8721,50.2565,49.2965,14.6759,9.5223,30.7755,46.8259,47.4476
